,"Järvien lukumäärä","Pinta-ala yhteensä"
Tölppäreenlampi,1,1 ha
Iso-Kortteikko,1,6 ha
Iso-Karvia,1,62 ha
Höyhtösenlampi,1,4 ha
Naukujärvi,1,2 ha
Pölö,1,16 ha
"Iso Venesjärvi",1,85 ha
Lapalampi,1,63 ha
"Iso Suorsajärvi",1,36 ha
Porosillanlahti,1,1 ha
Ellijärvi,1,2 ha
Antinperä,1,16 ha
Nikulasjärvi,1,103 ha
Viemenenjärvi,1,183 ha
Ainajärvi,1,34 ha
Paskoilammi,1,2 ha
"Pieni Pyränne",1,9 ha
Väsynevanlammi,1,2 ha
Pikku-Puutio,1,29 ha
Kantolammi,2,11 ha
Iso-Kotanen,4,57 ha
Soimalammi,1,4 ha
"Iso Tiaislampi",1,3 ha
"Karjalankosken allas",1,146 ha
Kakkurinlammi,1,1 ha
Laakunlampi,1,1 ha
Nuijamaanjärvi,1,528 ha
Vaarantausjärvi,1,9 ha
Matala-Kaituri,1,9 ha
Kankarilampi,1,5 ha
Luppokurunjärvi,1,2 ha
Naarmijärvi,2,129 ha
Ala-Taivaljärvi,1,12 ha
Torlampi,1,9 ha
Karppijärvi,1,28 ha
Kissa-Kumpunen,1,30 ha
Ruokepuolinen,3,82 ha
Saari-Valkeinen,5,97 ha
Paarujärvi,1,22 ha
Elämäjärvi,1,1 034 ha
Suohpajavri,3,119 ha
Maasyvänlahti,1,12 ha
"Pieni Kuusijärvi",2,35 ha
Sorsamo,2,81 ha
Suohppasjavri,1,5 ha
Vähä-Veso,1,4 ha
Alavanlampi,1,5 ha
Tuulilaseikko,1,2 ha
"Pieni Pihlas",1,3 ha
Kallgårdsträsket,1,12 ha
Raahajävri,1,2 214 ha
"Pieni Rästäslampi",1,1 ha
Pyöräinen,1,3 ha
Pyykinlampi,1,38 ha
Parkkijärvi,2,4 ha
Metsojärvi,1,20 ha
"Iso Matojärvi",1,46 ha
Kesselinjärvi,1,51 ha
"Pesunlampi l",1,3 ha
Halimasjärvi,1,4 ha
Hyyryläislampi,1,3 ha
Iivonlampi,2,13 ha
Pieni-Kaita,1,4 ha
Kalkujärvi,3,50 ha
Akkijärvi,1,86 ha
Särki-Kämä,1,283 ha
Kellolompolo,1,5 ha
Sänkijärvi,1,3 ha
Vuohtojärvi,1,99 ha
"Alimmainen Riuttalampi",1,3 ha
Norrfjärden,1,33 ha
Säiniönjärvi,1,69 ha
Puurijärvi,1,365 ha
Olkojärvi,1,132 ha
Pieni-Musti,5,35 ha
Ruohojärvi,12,242 ha
Peiponen,2,4 ha
Tapiojärvi,3,19 ha
Korsolampi,1,3 ha
Uljasjärvi,1,25 ha
Laseikonlampi,1,1 ha
Heinikarinlampi,1,17 ha
Raiskasjärvi,1,4 ha
Pieni-Mäntynen,2,116 ha
Luoma,2,179 ha
Tiengerijärvi,1,45 ha
Ruokolammi,1,1 ha
Runkajärvi,3,15 ha
Iso-Paalanen,1,6 ha
Peltosenlampi,2,10 ha
Nuottaamajärvi,1,41 ha
Harjärvi,1,127 ha
Tuolpujärvi,3,232 ha
Gennarbyträsket,1,22 ha
Annaperttusautsi,1,1 ha
"Iso Ilmojärvi",1,24 ha
Omenalampi,1,1 ha
Karjalaisenlampi,1,1 ha
Ala-Itälampi,1,6 ha
Latva-Kutinjärvi,1,20 ha
Miehojärvi,1,2 ha
Seitenahveninen,1,12 ha
Karhejärvi,1,295 ha
Viikki,1,2 ha
Kalliojoki,1,12 ha
Ylenjärvi,1,2 ha
Pälvelampi,1,10 ha
Iso-Hyypiö,1,78 ha
Katteljärvi,1,1 ha
Musteejärvi,1,3 ha
Varsalampi,10,20 ha
Uurainen,1,1 299 ha
Torilanlampi,1,4 ha
Kustilanlampi,1,1 ha
Vihteljärvi,1,32 ha
Suo-Mustikkalampi,1,5 ha
Luksuanlampi,1,7 ha
Mässviken,1,1 ha
Lähdejärvi,3,127 ha
"Suuri Ontonlampi",1,17 ha
Poareskieddejavri,1,11 ha
Viinilampi,1,18 ha
Juurikkolampi,1,2 ha
Ylä-Hälvä,1,23 ha
Viitavaaraanlampi,1,7 ha
Vehkanen,3,18 ha
Tuoddar-Kalddojavri,1,60 ha
Vestjärvi,1,31 ha
Toiviojärvi,1,50 ha
Pousujärvi,1,72 ha
"Pieni Suinajärvi",1,10 ha
Iknonlampi,1,20 ha
Jukonen,1,4 ha
Talviaislampi,1,3 ha
"Ylimmäinen Pihlajajärvi",1,12 ha
Matkolampi,2,22 ha
Valkea-Hero,1,3 ha
Marpanlampi,1,57 ha
Ylä-Läyliä,1,2 ha
Lompolojärvi,6,217 ha
"Pieni Saitta",1,2 ha
Vihtaslampi,1,8 ha
Noukalampi,1,3 ha
Äivihjärvi,1,150 ha
"Pieni Vuorilampi",1,1 ha
Takkakivijärvi,1,6 ha
Joutsenenpesä,1,6 ha
Kvarntrräsk,1,18 ha
Badfladan,1,7 ha
Vaalajärvi,2,1 311 ha
Jaurajärvi,1,30 ha
Turkkijärvi,1,48 ha
Nuotti-Valkeainen,1,10 ha
Multalampi,5,17 ha
Kehräpäänlampi,1,1 ha
Latva-Morkka,1,30 ha
Sjögloet,1,2 ha
"Pikku Urkkalampi",1,2 ha
Ytterträsket,1,4 ha
Varkauslampi,1,2 ha
Kirkas-Soljanen,1,7 ha
Sotkalammi,2,3 ha
Sauna-Saarinen,1,8 ha
Pikku-Hukka,1,11 ha
Kirnu-Varis,1,2 ha
Laattajärvi,1,4 ha
Hauklampi,20,66 ha
Huijunjärvi,1,6 ha
Kaatmojärvi,1,4 ha
Lössänlampi,4,12 ha
Sulkusalmenlampi,1,4 ha
"Pieni Kivilampi",7,36 ha
Luvttaluobbal,2,10 ha
"Vanhanjärven Kuivalantto",1,4 ha
Hietaoja,1,4 ha
"Ylimmäinen Riiplammi",1,2 ha
Kuolemaisjärvi,1,3 ha
"Iso Majajärvi",2,24 ha
Yliniitynlampi,2,2 ha
Mökkönen,1,8 ha
Mellalampi,2,34 ha
Ylä-Salmilampi,1,32 ha
"Pieni Pekonlampi",1,5 ha
Perälänlampi,1,1 ha
"Keskimmäinen Päälampi",1,4 ha
Kuokanlampi,2,36 ha
Koskikaltiojärvi,1,110 ha
Kättävänselkä,1,1 ha
"Iso Luhtalampi",1,5 ha
Hiukoonlampi,1,23 ha
Törönlampi,4,13 ha
Kuosmanjärvi,1,23 ha
Jauranlampi,1,2 ha
Honkalampi,60,348 ha
"Pieni Tervalampi",8,21 ha
"Ylimmäinen Appislompolo",1,20 ha
Lillforspotten,1,1 ha
Räätälinlampi,1,2 ha
"Alinen Sulkavanjärvi",1,34 ha
Kairlampi,4,9 ha
Reddvikträsket,1,1 ha
Känsälampi,2,34 ha
Pehketlampi,1,10 ha
Jokijärvet,1,14 ha
Vaakalampi,1,1 ha
Postelijärvi,1,3 ha
Suuri-Rasanen,1,12 ha
"Vähä Mustjärvi",1,1 ha
Myrkkyjärvi,1,8 ha
Ryöttilampi,2,36 ha
"Pikku Ukonjärvi",1,8 ha
Kirpistö,1,7 616 ha
Sulamajärvi,1,98 ha
Pikku-Musta,2,12 ha
Huhkojärvi,1,122 ha
Metsä-Lapinlampi,1,1 ha
Huhkajanlammi,1,6 ha
Tuiskujärvi,1,3 ha
Sokealammi,1,12 ha
Koukelolampi,1,1 ha
Syylampi,1,13 ha
Vaahersalonlampi,1,65 ha
Illainlampi,3,30 ha
Saariniekka,1,7 ha
Hyttilampi,2,4 ha
Läpisyöstö,1,25 ha
Terriölampi,1,10 ha
Kotarovanjärvi,1,5 ha
Kortesjärvi,2,46 ha
Tavastkengänjärvi,1,4 ha
Harvalaine,1,1 ha
Ala-Pohjalampi,1,1 ha
Kermilampi,1,4 ha
Iso-Köppi,1,5 ha
Kevättilampi,1,2 ha
"Vähä Majalampi",1,5 ha
Iso-Akka,1,48 ha
"Iso Puolimatka",1,4 ha
Hoikkajärvi,24,834 ha
Maansydän,1,28 ha
"Iso Luomajärvi",1,41 ha
Tarkkalampi,1,1 ha
"Suuri Kannanlampi",1,6 ha
Rainta-Rytky,1,3 ha
Lakeansuonlampi,1,4 ha
Maisajärvi,1,1 ha
Vähä-Mustinki,1,7 ha
Vuosukkajärvi,1,60 ha
Avvatsohkajavri,1,7 ha
Kaurionlammi,2,5 ha
Musta-Kolasin,1,3 ha
Taipaleenalanen,1,87 ha
Rätkäle,3,9 ha
Kenesjärvi,1,65 ha
Jauholampi,3,46 ha
Peuralompolo,1,33 ha
Palavankankaanlampi,1,1 ha
Karjalammi,2,8 ha
Hornionjärvi,1,4 ha
"Suuri Haukkalampi",1,7 ha
Silmäsjärvi,1,36 ha
Tevänti,1,194 ha
Hahmajärvi,3,779 ha
"Iso Terrijärvi",1,9 ha
Pohjois-Leppälampi,1,5 ha
"Keskimmäinen Kellojärvi",1,12 ha
Telsanlampi,1,2 ha
Hyvölänlampi,1,12 ha
Saarikoskensuvanto,1,2 ha
Ylimysjärvi,1,64 ha
"Pikku Härkäjärvi",1,3 ha
Rimpsilampi,1,5 ha
"Pieni Lylyjärvi",1,57 ha
Paalajärvi,1,3 ha
Kaltimonjärvi,1,194 ha
Suhankolampi,2,11 ha
"Iso Tulilampi",2,6 ha
Pihalampi,1,2 ha
Pieni-Suokko,1,2 ha
"Iso Kyrönlampi",1,10 ha
Iso-Ritolampi,1,3 ha
Tanikarinjärvi,1,3 ha
Lylysjärvi,1,257 ha
Huutijärvi,1,1 ha
Kangaslampi,128,930 ha
Kartiskolahti,1,13 ha
Ullantamajärvi,1,28 ha
Laihue,1,7 ha
"Iso Harjujärvi",1,23 ha
Koiranvuolle,1,3 ha
Uljua,1,72 ha
Suvanto,4,23 ha
Kollarinjärvi,1,5 ha
"Pieni Haluksenlampi",1,1 ha
Maljajärvi,1,3 ha
Eväjärvi,1,872 ha
"Iso Lökölampi",1,5 ha
"Pieni Ollinlammi",2,3 ha
Petäjärvi,1,93 ha
"Pieni Kuusivaaranlampi",1,2 ha
Salo-Kuulampi,1,4 ha
Hosiolampi,4,19 ha
Pennijärvi,1,12 ha
Kovalampi,3,20 ha
Paukajärvi,1,35 ha
"Vähä Salojärvi",1,9 ha
"Pottis fladan",1,3 ha
Kortejärvi,50,1 844 ha
"Pieni Riiankijärvi",1,1 ha
Kallio-Kumpunen,1,4 ha
"Pieni Ahmalampi",1,3 ha
"Patson Pitkä",1,49 ha
Norrviken,1,9 ha
Kvarnsjö,1,44 ha
Aukiriipi,1,7 ha
"Pieni Salasjärvi",1,2 ha
"Iso Ruunalampi",4,7 ha
Pukka,1,124 ha
Längelmävesi,1,13 304 ha
Kotkajärvi,2,370 ha
Sondbyträsket,1,31 ha
Pihlajalampi,21,109 ha
Kermikkajärvi,2,11 ha
Joutsenpesälampi,1,3 ha
Koljatti,1,27 ha
Issakkalampi,1,9 ha
Iso-Pyyli,2,31 ha
Iso-Sorsa,1,11 ha
Söderskatfladan,1,3 ha
Poronkaaristamajärvi,1,14 ha
Mustakurunlantto,1,6 ha
Ruutanajärvi,4,9 ha
Kannikka,1,7 ha
Paloharjunlampi,1,6 ha
Saivojärvi,4,86 ha
Kumpulaislampi,2,6 ha
Kanto-Valkiainen,1,4 ha
Purnunlampi,5,45 ha
Porolampi,25,181 ha
Pitkä-Hukka,1,18 ha
Paunus,1,11 ha
Nenolampi,2,8 ha
Huudekontti,1,1 ha
"Syvä Kuusijärvi",1,9 ha
"Vähä Ahvenisjärvi",1,1 ha
Sormusenlampi,2,5 ha
Salosjärvi,2,70 ha
Suonteenlahti,1,43 ha
Heraseljänlampi,2,8 ha
Kuikkojärvi,1,220 ha
Kalpiijärvi,1,23 ha
Perijärvi,1,2 ha
Pärsämönlampi,2,9 ha
"Pieni Kortejärvi",1,2 ha
Hattarjärvi,1,49 ha
Angjärv,1,56 ha
Kolunpohja,1,43 ha
Pesakonlampi,1,24 ha
Vanhankentänjärvi,1,2 ha
Kostonjärvi,1,4 369 ha
Käyrämönjärvi,1,153 ha
Vinkara,1,3 ha
Kasuririipi,1,1 ha
Naimalampi,1,7 ha
Kaivo-Kulus,1,12 ha
Lomperolampi,2,28 ha
Sonkajanrannanjärvi,1,156 ha
Norkfladan,1,30 ha
Pitkävesi,3,701 ha
Kolmihokkalampi,1,1 ha
Käränkälampi,1,42 ha
Pieni-Raate,1,2 ha
Jänkä-Sinnamolampi,2,23 ha
"Iso Permusjärvi",1,6 ha
Flatun,1,3 ha
Turulanlampi,1,2 ha
Pierlampi,1,6 ha
Pieni-Oho,1,3 ha
Suuri-Tihviäinen,1,49 ha
Sutukkalampi,1,4 ha
Latva-Kouvanjärvi,1,22 ha
Fanasjavri,1,4 ha
Jäkälä-Kapperijärvi,1,56 ha
Iso-Levälampi,1,22 ha
"Vähä Ylösjärvi",1,1 ha
Varpuojanlatvalampi,1,4 ha
Elamonjärvi,1,54 ha
Kulmunkilampi,2,7 ha
Karahkanjärvi,1,29 ha
Sirkkalampi,16,58 ha
Smukanjärvi,1,26 ha
"Iso Konttilanlampi",1,4 ha
Kuntakkilampi,2,2 ha
Kaiturijärvi,1,2 ha
Ketarlammi,1,2 ha
"Pieni Polvijärvi",2,15 ha
Kaudsurjååurads,1,26 ha
Välkytinlampi,1,1 ha
Nännälampi,1,3 ha
Patanajärvi,1,26 ha
"Pikku Ahvenlampi",5,12 ha
Rimminsuonlampi,1,2 ha
"Takainen Vuossijärvi",1,15 ha
Likolahti,4,18 ha
Rapakkolampi,2,3 ha
Pietarinen,1,1 ha
Nahkalampi,2,4 ha
Koveronlampi,2,10 ha
Hyödynlampi,1,1 ha
Leko-ojanlammi,1,3 ha
"Pikku Orastinjärvi",1,18 ha
Kortelammi,2,7 ha
Penämöjärvi,1,443 ha
Karsanjärvi,1,121 ha
Listimälampi,1,8 ha
"Pieni Pirttijärvi",2,7 ha
Grundträsket,1,16 ha
Terva-alanen,1,12 ha
"Iso Sääksjärvi",2,154 ha
Kvarnträsk,8,70 ha
Pieni-Haaranen,1,20 ha
Reelmäjärvi,1,51 ha
Ylä-Keskinen,2,4 ha
Ylä-Pakkanen,1,7 ha
"Haapajärven tekojärvi",1,436 ha
"Stuorra Tsahppesjavri",2,101 ha
Ali-Paastonjärvi,1,27 ha
Matsinlampi,1,8 ha
Sepposenlampi,1,2 ha
"Pieni Lummelampi",2,4 ha
Emälammi,1,14 ha
Hauha,1,728 ha
Laurikanlampi,1,2 ha
Honkanen,5,334 ha
Kisuri,1,2 ha
Ylä-Saarva,1,10 ha
Tasonlampi,1,2 ha
Myllykylänjärvi,1,102 ha
Oulanki,1,143 ha
Kortelompola,1,3 ha
"Iso Siikalampi",1,13 ha
Poikkelisjärvi,1,51 ha
Luonnonlampi,1,1 ha
Iso-Musti,3,16 ha
"Pieni Tetrijärvi",1,31 ha
Unkkajärvi,1,41 ha
Ruoidnahavggaladdu,1,12 ha
Bastsjöviken,1,5 ha
Lievosenjärvi,1,52 ha
Bakträsk,1,296 ha
Juujärvi,1,320 ha
Ala-Luotojärvi,1,390 ha
"Ylimmäinen Heinälampi",1,5 ha
Kieluvainen,1,42 ha
"Vähä Paljärvi",1,7 ha
Ala-Lylyjärvi,2,141 ha
"Suuri Jaakkimanlampi",1,11 ha
Puolddsakjavri,1,51 ha
Haaralammi,3,21 ha
Pieni-Salvaja,1,1 ha
Mustajärvi,71,1 352 ha
"Pieni Olvasjärvi",1,68 ha
Joutsenampumajärvi,1,23 ha
Hästanasfladan,1,10 ha
Keljärvi,1,2 ha
Hallisenlampi,1,7 ha
Alainen-Oikka,1,3 ha
Pesemäjärvi,1,4 ha
Laakajärvi,2,3 495 ha
Musturinlampi,1,2 ha
Sanijärvi,1,89 ha
Luistinlampi,1,4 ha
Palehjärvi,1,19 ha
Rokkalampi,5,19 ha
Valkia,1,70 ha
Santaheinäjärvi,1,37 ha
"Iso Keltajärvi",1,3 ha
Ruonalammit,1,13 ha
"Suuri Ruotanen",1,2 ha
Levänen,17,353 ha
Paska-Vittous,1,1 ha
Oravaisjärvi,1,85 ha
Pölkkylampi,4,19 ha
Luupio,1,3 ha
Harkkolampi,1,5 ha
Fladan,6,27 ha
Iso-Kaleton,3,27 ha
Vähä-Kilpastin,1,5 ha
Tuikanlampi,1,3 ha
Poksamo,1,138 ha
Saarualampi,1,1 ha
"Pieni Hiisijärvi",3,43 ha
Lasasenlampi,1,2 ha
Välinen,1,4 ha
"Pieni Luhtalampi",2,9 ha
Ylä-Koirus,1,427 ha
Suotajärvi,2,358 ha
Heposyvä,1,1 ha
Ruohujavri,1,74 ha
Pikku-Timonen,1,63 ha
Pierkivaaranjärvi,2,75 ha
"Iso Majavajärvi",1,31 ha
Paskatti,1,7 ha
Lauslampi,1,4 ha
Iso-Iimas,1,5 ha
Jokilompolo,1,5 ha
Kilpelänlampi,1,2 ha
"Pikku Onkimus",1,1 ha
Kivalonlampi,2,5 ha
Angerlampi,1,5 ha
Konsajärvi,1,61 ha
Rikulampi,1,7 ha
Saikaansyvä,1,2 ha
"Hannun Kotajärvi",1,6 ha
Kivi-Kierinka,1,14 ha
Sulkujärvi,3,21 ha
Iso-Luhtanen,1,21 ha
Mannerjärvi,1,2 ha
Iso-Saukko,1,4 ha
Iso-Suonia,1,30 ha
Tahjanjärvi,1,15 ha
Lintulammi,2,6 ha
Höytiönlampi,2,55 ha
Talluslammi,1,2 ha
Könilampi,1,2 ha
Ruoho-Perlukkalampi,1,6 ha
Silmutlampi,1,1 ha
Pitkäluhtalampi,1,1 ha
Konilampi,3,5 ha
Rouskun-Valkeinen,1,23 ha
Iso-Lano,1,20 ha
Tolvasenlampi,1,4 ha
Luttu,1,50 ha
Ala-Tetrinen,1,6 ha
Irnijärvi,3,3 759 ha
Vuohtajärvi,1,736 ha
Kiuaslampi,2,10 ha
Tivonlampi,1,6 ha
Kojonlampi,1,4 ha
Poroinjärvi,1,18 ha
Uilonlampi,1,5 ha
Iso-Riuttanen,1,36 ha
"Pieni Mertalampi",2,7 ha
Vuoronen,1,12 ha
Pelkosenlampi,1,6 ha
Munkträsk,1,2 ha
Huhtii,1,8 ha
"Pieni Huuskonlampi",1,2 ha
"Yläinen Heinijärvi",1,3 ha
"Vähä Särkijärvi",6,42 ha
Keski-Kokalmus,1,1 ha
Kaikonlampi,2,13 ha
"Iso Salinjärvi",1,132 ha
Raikkuanlammi,1,4 ha
Kaletonlampi,8,32 ha
Lukujärvi,1,118 ha
Kakarlammi,6,12 ha
Iso-Sikonen,2,7 ha
Lounaja,1,111 ha
Hämähäkkijärvi,1,27 ha
Iso-Sikla,1,20 ha
"Pieni Niskalampi",1,3 ha
Iso-Kaupunki,1,27 ha
Riienlampi,2,15 ha
"Suuri Potkulampi",1,10 ha
Timpinlampi,1,21 ha
Luotlammi,1,18 ha
"Pieni Paavolampi",1,2 ha
Ala-Levälampi,1,2 ha
"Ylimmäinen Riihilampi",2,8 ha
Uksemalampi,1,1 ha
"Iso Säynäslammi",1,3 ha
"Pikku Humma",1,2 ha
Valajärvi,5,960 ha
Pieni-Lauttonen,1,2 ha
Kotaselkä,1,114 ha
Sopenlampi,7,56 ha
Siekkisjärvi,1,296 ha
Riivinjärvi,5,72 ha
Viherlampi,1,8 ha
Seitenjärvi,1,289 ha
Hältingträsk,1,1 ha
Pyötikkö,1,4 ha
"Pikku Konttilampi",1,1 ha
Paartelampi,1,5 ha
Pikku-Soinjärvi,1,8 ha
Karamajärvi,1,24 ha
Niittyjärvet,1,17 ha
Sorppalampi,1,8 ha
"Liikapuron tekojärvi",1,253 ha
Ulmalanlampi,1,6 ha
Tervoslampi,1,8 ha
Salmelanlampi,4,14 ha
Paijärvi,1,16 ha
"Pieni Valkeislampi",1,2 ha
Innoonlampi,2,18 ha
Soidenlampi,1,11 ha
Kokkonen,5,68 ha
Soivionjärvi,1,778 ha
Laukkurinlampi,1,3 ha
Kuoksenjärvi,1,261 ha
"Annan Juomusjärvi",1,7 ha
Vaaksinjärvi,1,47 ha
Tyrylammi,2,6 ha
"Alainen Vuorisjärvi",1,4 ha
Haventojärvi,2,11 ha
"Alinen Salmijärvi",1,13 ha
Marttisjärvi,1,275 ha
Tervanen,3,47 ha
Alinen-Jouttilampi,1,6 ha
"Pieni Niinilammi",1,2 ha
Pulaste,2,6 ha
Pullolampi,3,5 ha
Liisanlampi,3,5 ha
Saari-Paavila,1,32 ha
Leililampi,5,28 ha
Houlanlampi,1,1 ha
Rumonlampi,2,5 ha
Vähä-Potkio,1,8 ha
Keski-Taimenjärvi,1,15 ha
Pirrilampi,1,5 ha
Nikkaslampi,1,1 ha
Permoslampi,1,4 ha
Kuortakkolampi,1,19 ha
Keski-Naurua,1,7 ha
Retjanlampi,1,2 ha
Tukianlampi,1,4 ha
Valanti,1,1 ha
Kuulammi,1,8 ha
Barktjärnen,1,4 ha
Kuuskalanjärvi,1,50 ha
Lempaanjärvi,1,4 ha
Suuri-Otikainen,1,132 ha
Nauttiainen,1,60 ha
Pieni-Laiha,1,3 ha
Ala-Karkjärvi,1,93 ha
"Pikku Pielpajärvi",1,49 ha
Venäinlampi,1,1 ha
Sääjärvi,1,181 ha
Pikku-Soukka,1,3 ha
Moikerolammi,1,2 ha
Hiekantakanen,1,8 ha
Möykkylänjärvi,1,12 ha
Väätäjä,1,42 ha
Iso-Kammari,1,3 ha
Hujakko,1,10 ha
"Suuri Myllylampi",1,4 ha
"Salon Musta",1,11 ha
Rämelampi,1,4 ha
Nubejáávráš,1,3 ha
Turunen,1,22 ha
Kilpanen,1,3 ha
Lakijärvi,1,5 ha
"Pieni Hakojärvi",2,284 ha
Kaakanjärvi,1,15 ha
Taarilampi,1,1 ha
"Iso Lamujärvi",1,2 585 ha
Jalkataittumajärvi,1,10 ha
"Pieni Sammakkojärvi",2,13 ha
Karhuriipi,1,3 ha
Hallijärvi,1,3 ha
Ala-Pahkalampi,2,5 ha
Meriteerijärvi,1,4 ha
"Iso Kylmäjärvi",1,13 ha
Prinsjärvi,1,3 ha
Perätysjärvi,1,2 ha
Enojärvi,3,300 ha
Pieni-Särkkinen,1,1 ha
Skiihpaluobbalak,1,8 ha
Pitkänniitynlampi,1,2 ha
Eskauslampi,1,2 ha
Aittonen,3,60 ha
Kortejavri,1,9 ha
"Vähä Työläjärvi",1,2 ha
Touhulanjärvi,1,7 ha
Vähä-Lamujärvi,1,345 ha
"Brändskärs bottnen",1,4 ha
Rupisuolijärvi,3,47 ha
Lauharinlampi,1,1 ha
Saloistenjärvi,2,308 ha
"Kalaton Nilijärvi",1,8 ha
Vauhkonen,1,7 ha
Pikku-Kielikko,1,5 ha
Latva-Juurikka,1,37 ha
Kännätjärvi,1,32 ha
Vihtasuonlampi,1,3 ha
Kalholampi,2,67 ha
Lintupuolijärvi,1,55 ha
Tuurmojärvi,1,2 ha
Kipojärvi,2,15 ha
Rapiolampi,1,1 ha
Melamalampi,1,14 ha
Valkiavesi,4,22 ha
Pieni-Petro,1,2 ha
Suuripäänlammet,1,14 ha
Vaittauslampi,2,5 ha
Syvä-Loutteinen,1,1 ha
Vennalampi,3,21 ha
Pitkä-Viitanen,1,12 ha
Kaalilampi,2,7 ha
Vuolasjärvi,1,3 ha
"Eteläinen Reppänäjärvi",1,24 ha
Ladjojavrras,1,5 ha
Pieni-Nieminen,1,1 ha
"Pieni Kenkilampi",1,1 ha
Ylä-Uusimo,1,32 ha
Uumolampi,1,1 ha
Pää-Kurikka,1,4 ha
Uudenraivionlampi,1,2 ha
Juusjärvi,1,195 ha
"Musta Rautalampi",1,4 ha
Kaartolampi,4,9 ha
Palolammi,4,10 ha
Iso-Riutta,1,7 ha
Säynetlampi,2,32 ha
"Iso Karvasjärvi",1,26 ha
Tupijärvi,1,7 ha
Lohilatvanlampi,1,2 ha
Ylä-Korvalampi,1,5 ha
Saittajärvi,4,1 214 ha
Hevoslantto,1,2 ha
"Pieni Katajalampi",1,1 ha
Övjärv,1,4 ha
Puttosenjärvi,1,7 ha
Grobottnen,1,3 ha
"Keskimmäinen Pahalampi",1,2 ha
Jokelanjärvi,1,6 ha
Räme-Julma,1,2 ha
Polojärvi,1,795 ha
Solistonlampi,1,1 ha
Tievaselkäjärvi,1,21 ha
Särkkälampi,19,75 ha
"Vähä Ruonajärvi",1,18 ha
Peittolompolo,1,1 ha
"Iso Kiimalampi",3,29 ha
Alanteenjärvi,4,607 ha
Pieni-Hilippa,1,9 ha
Ikkunalampi,1,1 ha
Salmentakanen,1,106 ha
Pieni-Kaakkolampi,1,2 ha
Kuoksunlampi,1,3 ha
Elimonjärvi,1,52 ha
Kolminaisenlampi,1,3 ha
"Pikku Ruokejärvi",1,3 ha
Murhijärvi,2,132 ha
Pieni-Kaltsa,1,2 ha
Yläallas,1,115 ha
Starrböleträsket,1,8 ha
Tyräjä,1,7 ha
Iso-Hilippa,1,9 ha
Romppasenlampi,1,3 ha
Sinermäjärvi,1,47 ha
Ilmetton,1,5 ha
Kikurinjärvi,1,57 ha
Nahkiaislampi,3,19 ha
Tuollojärvi,1,10 ha
Putkilonlampi,1,3 ha
Pieru,1,4 ha
"Suuri Salmilampi",1,3 ha
Pukinlammi,1,2 ha
Rintasenlampi,1,2 ha
Raitoonlammi,1,5 ha
Sarkilampi,1,3 ha
Juurikainen,2,25 ha
Labackörsviken,1,9 ha
Vaavunlampi,1,3 ha
Pieni-Kujanki,1,27 ha
Iso-Koljatti,1,8 ha
Leusjärvi,1,109 ha
Vinkiänjärvi,1,16 ha
Ruopotus,1,6 ha
Kuurtolampi,1,12 ha
Toivionlampi,2,20 ha
Mutelinlampi,1,4 ha
Rapojärvi,1,1 325 ha
Ukonvesi,1,2 423 ha
Tunkelonlahti,1,7 ha
Naunakasjärvi,1,3 ha
Ympyriäisenlampi,1,3 ha
"Pieni Siltalampi",1,1 ha
Lallujärvi,1,48 ha
Syvänlahdenjärvi,1,6 ha
Sahalampi,6,31 ha
Nivanlampi,2,8 ha
Löytänejärvi,1,32 ha
Kokinlampi,4,28 ha
Ahveroisenlampi,1,1 ha
Mukkaperäjärvi,1,21 ha
Tierbmeskobejavri,1,6 ha
Räkkijärvi,1,402 ha
Venojärvi,1,37 ha
Ala-Paukkaja,1,38 ha
Rietajärvi,1,24 ha
"Pieni Lakkijärvi",1,19 ha
Kuterlampi,1,18 ha
Paavalinlampi,2,8 ha
"Alimmainen Alttojärvi",1,25 ha
"Pieni Kannusjärvi",1,31 ha
Kylkiäinen,10,90 ha
Raajärvi,1,110 ha
Rantionlampi,1,4 ha
Avojärvi,2,39 ha
Muhoslampi,3,136 ha
Utriaislampi,1,1 ha
Salankijärvi,1,67 ha
Fielbmajavri,1,5 ha
Torvilampi,3,27 ha
Salauslampi,1,3 ha
Ellinlahti,1,3 ha
Lapinlammi,3,14 ha
Ahven-Rautujärvi,1,12 ha
Latolammi,1,2 ha
Metsä-Pyylampi,1,29 ha
Äälisjärvi,1,396 ha
"Alimmainen Pihlajajärvi",1,9 ha
Ormtjärnan,1,2 ha
Kaksostenlampi,1,1 ha
"Suuri Kesätienlampi",1,4 ha
Postituvanjärvi,1,6 ha
Neva-Valkeinen,1,2 ha
Vuostojärvi,1,19 ha
Huuhtanen,1,18 ha
Nybackanlammi,1,2 ha
Orjuu,1,33 ha
Muuranlampi,1,1 ha
Löyänjärvi,1,39 ha
Ekojärvi,2,175 ha
Skaideluobbalak,1,5 ha
"Valkea Hanhilampi",1,1 ha
Pinkjärvi,1,280 ha
Vihijärvi,3,148 ha
Ositunlampi,1,4 ha
Säyneinen,3,25 ha
Sammalinen,10,255 ha
Tammukkalompola,1,4 ha
Vanielinlampi,1,3 ha
"Ylimmäinen Lahnalampi",1,16 ha
"Iso Kyrpjärvi",1,13 ha
Moukajärvi,1,23 ha
Pikkuriipi,1,1 ha
Iso-Kaukanen,1,3 ha
Inhottujärvi,1,449 ha
